name, units, ads_name, short_name, paramid, access_type, fc, an, note
Total fine mode (r < 0.5 um) aerosol optical depth at 532 nm,dimensionless,total_fine_mode_aerosol_optical_depth_532nm,aodfm532,215121.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 550 nm,dimensionless,total_fine_mode_aerosol_optical_depth_550nm,aodfm550,215122.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 645 nm,dimensionless,total_fine_mode_aerosol_optical_depth_645nm,aodfm645,215123.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 670 nm,dimensionless,total_fine_mode_aerosol_optical_depth_670nm,aodfm670,215124.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 800 nm,dimensionless,total_fine_mode_aerosol_optical_depth_800nm,aodfm800,215125.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 858 nm,dimensionless,total_fine_mode_aerosol_optical_depth_858nm,aodfm858,215126.00,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 865 nm,dimensionless,total_fine_mode_aerosol_optical_depth_865nm,aodfm865,215127.00,,X,X,Only available from 26 June 2018 12UTC
Total precipitation,m,total_precipitation,tp,228.00,,X,X,
Total sky direct solar radiation at surface,J m-2,total_sky_direct_solar_radiation_at_surface,fdir,228021.00,,X,,
Vertically integrated mass of ammonium aerosol,kg m-2,vertically_integrated_mass_of_ammonium_aerosol,aermssam,215211.00,,X,X,Only available from 9 July 2019 00UTC
Vertically integrated mass of coarse-mode nitrate aerosol,kg m-2,vertically_integrated_mass_of_coarse_mode_nitrate_aerosol,aermssnic,215202.00,,X,X,Only available from 9 July 2019 00UTC
Vertically integrated mass of dust aerosol (0.03 - 0.55 um),kg m-2,vertically_integrated_mass_of_dust_aerosol_0.03-0.55um,aermssdus,215043.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of dust aerosol (0.55 - 9 um),kg m-2,vertically_integrated_mass_of_dust_aerosol_0.55-9um,aermssdum,215044.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of dust aerosol (9 - 20 um),kg m-2,vertically_integrated_mass_of_dust_aerosol_9-20um,aermssdul,215045.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of fine-mode nitrate aerosol,kg m-2,vertically_integrated_mass_of_fine_mode_nitrate_aerosol,aermssnif,215201.00,,X,X,Only available from 9 July 2019 00UTC
Vertically integrated mass of hydrophilic black carbon aerosol,kg m-2,vertically_integrated_mass_of_hydrophilic_black_carbon_aerosol,aermssbchphil,215078.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of hydrophilic organic matter aerosol,kg m-2,vertically_integrated_mass_of_hydrophilic_organic_matter_aerosol,aermssomhphil,215062.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of hydrophobic black carbon aerosol,kg m-2,vertically_integrated_mass_of_hydrophobic_black_carbon_aerosol,aermssbchphob,215077.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of hydrophobic organic matter aerosol,kg m-2,vertically_integrated_mass_of_hydrophobic_organic_matter_aerosol,aermssomhphob,215061.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sea salt aerosol (0.03 - 0.5 um),kg m-2,vertically_integrated_mass_of_sea_salt_aerosol_0.03-0.5um,aermsssss,215019.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sea salt aerosol (0.5 - 5 um),kg m-2,vertically_integrated_mass_of_sea_salt_aerosol_0.5-5um,aermssssm,215020.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sea salt aerosol (5 - 20 um),kg m-2,vertically_integrated_mass_of_sea_salt_aerosol_5-20um,aermssssl,215021.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sulphate aerosol,kg m-2,vertically_integrated_mass_of_sulphate_aerosol,aermsssu,215087.00,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated moisture divergence,kg m-2,vertically_integrated_moisture_divergence,vimd,213.00,,X,,Only available from 21 June 2016 00UTC
Visibility,m,visibility,vis,3020.00,,X,,Only available from 21 June 2016 00UTC
Wet deposition of ammonium aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_ammonium_aerosol_by_convective_precipitation,aerwdcam,215209.00,,X,,Only available from 9 July 2019 00UTC
Wet deposition of ammonium aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_ammonium_aerosol_by_large_scale_precipitation,aerwdlam,215208.00,,X,,Only available from 9 July 2019 00UTC
Wet deposition of coarse-mode nitrate aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_coarse_mode_nitrate_aerosol_by_convective_precipitation,aerwdcnic,215198.00,,X,,Only available from 9 July 2019 00UTC
Wet deposition of coarse-mode nitrate aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_coarse_mode_nitrate_aerosol_by_large_scale_precipitation,aerwdlnic,215196.00,,X,,Only available from 9 July 2019 00UTC
Wet deposition of dust aerosol (0.03 - 0.55 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.03-0.55um_by_convective_precipitation,aerwdccdus,215037.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (0.03 - 0.55 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.03-0.55um_by_large_scale_precipitation,aerwdlsdus,215034.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (0.55 - 9 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.55-9um_by_convective_precipitation,aerwdccdum,215038.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (0.55 - 9 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.55-9um_by_large_scale_precipitation,aerwdlsdum,215035.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (9 - 20 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_9-20um_by_convective_precipitation,aerwdccdul,215039.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (9 - 20 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_9-20um_by_large_scale_precipitation,aerwdlsdul,215036.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of fine-mode nitrate aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_fine_mode_nitrate_aerosol_by_convective_precipitation,aerwdcnif,215197.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of fine-mode nitrate aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_fine_mode_nitrate_aerosol_by_large_scale_precipitation,aerwdlnif,215195.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic black carbon aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_black_carbon_aerosol_by_convective_precipitation,aerwdccbchphil,215074.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic black carbon aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_black_carbon_aerosol_by_large_scale_precipitation,aerwdlsbchphil,215072.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic organic matter aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_organic_matter_aerosol_by_convective_precipitation,aerwdccomhphil,215058.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic organic matter aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_organic_matter_aerosol_by_large_scale_precipitation,aerwdlsomhphil,215056.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic black carbon aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_black_carbon_aerosol_by_convective_precipitation,aerwdccbchphob,215073.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic black carbon aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_black_carbon_aerosol_by_large_scale_precipitation,aerwdlsbchphob,215071.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic organic matter aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_organic_matter_aerosol_by_convective_precipitation,aerwdccomhphob,215057.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic organic matter aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_organic_matter_aerosol_by_large_scale_precipitation,aerwdlsomhphob,215055.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.03 - 0.5 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.03-0.5um_by_convective_precipitation,aerwdccsss,215013.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.03 - 0.5 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.03-0.5um_by_large_scale_precipitation,aerwdlssss,215010.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.5 - 5 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.5-5um_by_convective_precipitation,aerwdccssm,215014.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.5 - 5 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.5-5um_by_large_scale_precipitation,aerwdlsssm,215011.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (5 - 20 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_5-20um_by_convective_precipitation,aerwdccssl,215015.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (5 - 20 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_5-20um_by_large_scale_precipitation,aerwdlsssl,215012.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sulphate aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_sulphate_aerosol_by_convective_precipitation,aerwdccsu,215085.00,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sulphate aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sulphate_aerosol_by_large_scale_precipitation,aerwdlssu,215084.00,,X,,Only available from 26 June 2018 12UTC


#------------------------------------
# Multi-level Fast access parameters
#------------------------------------

Ammonium aerosol mass mixing ratio,kg kg-1,ammonium_aerosol_mass_mixing_ratio,aermr18,210249.00,Fast access,X,X,
Anthropogenic secondary organic aerosol mass mixing ratio,kg kg-1,anthropogenic_secondary_organic_aerosol_mixing_ratio,aermr20,210253.00,Fast access,,,Available from 28 June 2023 
Biogenic secondary organic aerosol mass mixing ratio,kg kg-1,biogenic_secondary_organic_aerosol_mixing_ratio,aermr19,210252.00,Fast access,,,Available from 28 June 2023 
Carbon monoxide,kg kg-1,carbon_monoxide,co,210123.00,Fast access,X,X,
Chlorine monoxide,kg kg-1,chlorine_monoxide,clo,217174.00,Fast access,X,X,Available from 28 June 2023
Chlorine nitrate,kg kg-1,chlorine_nitrate,clono2,217064.00,Fast access,X,X,Available from 28 June 2023
Dust Aerosol (0.03 - 0.55 um) Mixing Ratio,kg kg-1,dust_aerosol_0.03-0.55um_mixing_ratio,aermr04,210004.00,Fast access,X,X,
Dust Aerosol (0.55 - 0.9 um) Mixing Ratio,kg kg-1,dust_aerosol_0.55-0.9um_mixing_ratio,aermr05,210005.00,Fast access,X,X,
Dust Aerosol (0.9 - 20 um) Mixing Ratio,kg kg-1,dust_aerosol_0.9-20um_mixing_ratio,aermr06,210006.00,Fast access,X,X,
Ethane,kg kg-1,ethane,c2h6,217045.00,Fast access,X,X,
Formaldehyde,kg kg-1,formaldehyde,hcho,210124.00,Fast access,X,X,
Hydrogen chloride,kg kg-1,hydrogen_chloride,hcl,217200.00,,X,X,Available from 28 June 2023
Hydrogen cyanide,kg kg-1,hydrogen_cyanide,HCN,217226.00,,X,X,Available from 28 June 2023
Hydrogen peroxide,kg kg-1,hydrogen_peroxide,h2o2,217003.00,Fast access,X,X,
Hydrophilic Black Carbon Aerosol Mixing Ratio,kg kg-1,hydrophilic_black_carbon_aerosol_mixing_ratio,aermr09,210009.00,Fast access,X,X,
Hydrophilic Organic Matter Aerosol Mixing Ratio,kg kg-1,hydrophilic_organic_matter_aerosol_mixing_ratio,aermr07,210007.00,Fast access,X,X,
Hydrophobic Black Carbon Aerosol Mixing Ratio,kg kg-1,hydrophobic_black_carbon_aerosol_mixing_ratio,aermr10,210010.00,Fast access,X,X,
Hydrophobic Organic Matter Aerosol Mixing Ratio,kg kg-1,hydrophobic_organic_matter_aerosol_mixing_ratio,aermr08,210008.00,Fast access,X,X,
Hydroxyl radical,kg kg-1,hydroxyl_radical,oh,217030.00,Fast access,X,X,
Isoprene,kg kg-1,isoprene,c5h8,217016.00,Fast access,X,X,
Logarithm of surface pressure,~,logarithm_of_surface_pressure,lnsp,152.00,Fast access,X,X,Available only at level=1
Methane,kg kg-1,methane,ch4_c,217004.00,Fast access,X,X,Differences between CH4 and CH4_C
Nitrate coarse mode aerosol mass mixing ratio,kg kg-1,nitrate_coarse_mode_aerosol_mass_mixing_ratio,aermr17,210248.00,Fast access,X,X,
Nitrate fine mode aerosol mass mixing ratio,kg kg-1,nitrate_fine_mode_aerosol_mass_mixing_ratio,aermr16,210247.00,Fast access,X,X,
Nitric acid,kg kg-1,nitric_acid,hno3,217006.00,Fast access,X,X,
Nitrogen dioxide,kg kg-1,nitrogen_dioxide,no2,210121.00,Fast access,X,X,
Nitrogen monoxide,kg kg-1,nitrogen_monoxide,no,217027.00,Fast access,X,X,
Ozone,kg kg-1,ozone,go3,210203.00,Fast access,X,X,
Peroxyacetyl nitrate,kg kg-1,peroxyacetyl_nitrate,pan,217013.00,Fast access,X,X,
Propane,kg kg-1,propane,c3h8,217047.00,Fast access,X,X,
Sea Salt Aerosol (0.03 - 0.5 um) Mixing Ratio,kg kg-1,sea_salt_aerosol_0.03-0.5um_mixing_ratio,aermr01,210001.00,Fast access,X,X,CAMS global sea salt aerosol mixing ratios
Sea Salt Aerosol (0.5 - 5 um) Mixing Ratio,kg kg-1,sea_salt_aerosol_0.5-5um_mixing_ratio,aermr02,210002.00,Fast access,X,X,CAMS global sea salt aerosol mixing ratios
Sea Salt Aerosol (5 - 20 um) Mixing Ratio,kg kg-1,sea_salt_aerosol_5-20um_mixing_ratio,aermr03,210003.00,Fast access,X,X,CAMS global sea salt aerosol mixing ratios
Specific humidity,kg kg-1,specific_humidity,q,133.00,Fast access,X,X,
Sulphate Aerosol Mixing Ratio,kg kg-1,sulphate_aerosol_mixing_ratio,aermr11,210011.00,Fast access,X,X,
Sulphur dioxide,kg kg-1,sulphur_dioxide,so2,210122.00,Fast access,X,X,
Temperature,K,temperature,t,130.00,Fast access,X,X,
U component of wind,m s-1,u_component_of_wind,u,131.00,Fast access,X,X,
V component of wind,m s-1,v_component_of_wind,v,132.00,Fast access,X,X,


#------------------------------------
# Multi-level Slow access parameters
#------------------------------------

Acetone,kg kg-1,acetone,ch3coch3,217052.00,,X,X,
Acetone product,kg kg-1,acetone_product,aco2,217053.00,,X,X,
Acetonitrile,kg kg-1,,CH3CN,217224.00,,X,X,Available from 28 June 2023
Aerosol extinction coefficient at 1064 nm,m-1,aerosol_extinction_coefficient_1064nm,aerext1064,215182.00,,X,,Only available from 26 September 2017 00UTC
Aerosol extinction coefficient at 355 nm,m-1,aerosol_extinction_coefficient_355nm,aerext355,215180.00,,X,,Only available from 26 September 2017 00UTC
Aerosol extinction coefficient at 532 nm,m-1,aerosol_extinction_coefficient_532nm,aerext532,215181.00,,X,,Only available from 26 September 2017 00UTC
Aldehydes,kg kg-1,aldehydes,ald2,217012.00,,X,X,
Amine,kg kg-1,amine,nh2,217040.00,,X,X,
Ammonia,kg kg-1,ammonia,nh3,217019.00,,X,X,
Ammonium,kg kg-1,ammonium,nh4,217021.00,,X,X,
Aerosol backscatter coefficient at 1064 nm (from ground),m-1 sr-1,attenuated_backscatter_due_to_aerosol_1064nm_from_ground,aerbackscatgnd1064,215188.00,,X,,Only available from 26 September 2017 00UTC
Aerosol backscatter coefficient at 1064 nm (from top of atmosphere),m-1 sr-1,attenuated_backscatter_due_to_aerosol_1064nm_from_top_of_atmosphere,aerbackscattoa1064,215185.00,,X,,Only available from 26 September 2017 00UTC
Aerosol backscatter coefficient at 355 nm (from ground),m-1 sr-1,attenuated_backscatter_due_to_aerosol_355nm_from_ground,aerbackscatgnd355,215186.00,,X,,Only available from 26 September 2017 00UTC
Aerosol backscatter coefficient at 355 nm (from top of atmosphere),m-1 sr-1,attenuated_backscatter_due_to_aerosol_355nm_from_top_of_atmosphere,aerbackscattoa355,215183.00,,X,,Only available from 26 September 2017 00UTC
Aerosol backscatter coefficient at 532 nm (from ground),m-1 sr-1,attenuated_backscatter_due_to_aerosol_532nm_from_ground,aerbackscatgnd532,215187.00,,X,,Only available from 26 September 2017 00UTC
Aerosol backscatter coefficient at 532 nm (from top of atmosphere),m-1 sr-1,attenuated_backscatter_due_to_aerosol_532nm_from_top_of_atmosphere,aerbackscattoa532,215184.00,,X,,Only available from 26 September 2017 00UTC
Anthropogenic secondary organic aerosol mass mixing ratio,kg kg-1,anthropogenic_secondary_organic_aerosol_mixing_ratio,aermr20,210253.00,,X,X,Available from 28 June 2023 
Asymmetric chlorine dioxide radical,,,,,,,,
Biogenic secondary organic aerosol mass mixing ratio,kg kg-1,biogenic_secondary_organic_aerosol_mixing_ratio,aermr19,210252.00,,X,X,Available from 28 June 2023 
Bromine,kg kg-1,bromine,br2,217192.00,,X,X,Available from 28 June 2023
Bromine atom,kg kg-1,bromine_atom,br,217191.00,,X,X,Available from 28 June 2023
Bromine monochloride,kg kg-1,bromine_monochloride,brcl,217193.00,,X,X,Available from 28 June 2023
Bromine monoxide,kg kg-1,bromine_monoxide,bro,217176.00,,X,X,Available from 28 June 2023
Bromine nitrate,kg kg-1,bromine_nitrate,brono2,217194.00,,X,X,Available from 28 June 2023
Bromochlorodifluoromethane,kg kg-1,bromochlorodifluoromethane,ha1211,217082.00,,X,X,Available from 28 June 2023
Chlorine,kg kg-1,chlorine,cl2,217066.00,,X,X,Available from 28 June 2023
Chlorine atom,kg kg-1,chlorine_atom,cl_c,217175.00,,X,X,Available from 28 June 2023
Chlorine dioxide,kg kg-1,chlorine_dioxide,oclo,217063.00,,X,X,Available from 28 June 2023
Chlorodifluoromethane,kg kg-1,chlorodifluoromethane,hcfc22,217079.00,,X,X,Available from 28 June 2023
Chloropentafluoroethane,kg kg-1,chloropentafluoroethane,cfc115,217075.00,,X,X,Available from 28 June 2023
Dibromomethane,kg kg-1,dibromomethane,ch2br2,217195.00,,X,X,Available from 28 June 2023
Dichlorine dioxide,kg kg-1,dichlorine_dioxide,cl2o2,217069.00,,X,X,Available from 28 June 2023
Dichlorodifluoromethane,kg kg-1,dichlorodifluoromethane,cfc12,217072.00,,X,X,Available from 28 June 2023
Dichlorotetrafluoroethane,kg kg-1,dichlorotetrafluoroethane,cfc114,217074.00,,X,X,Available from 28 June 2023
Dimethyl sulfide,kg kg-1,dimethyl_sulfide,dms,217018.00,,X,X,
Dinitrogen pentoxide,kg kg-1,dinitrogen_pentoxide,n2o5,217033.00,,X,X,
Ethanol,kg kg-1,ethanol,c2h5oh,217046.00,,X,X,
Ethene,kg kg-1,ethene,c2h4,217010.00,,X,X,
Formic acid,kg kg-1,formic_acid,hcooh,217043.00,,X,X,
Fraction of cloud cover,(0 - 1),fraction_of_cloud_cover,cc,248.00,,X,X,
Geopotential,m2 s-2,geopotential,z,129.00,,X,X,
Glyoxal,kg kg-1,glyoxal,glyoxal,217107.00,,X,X,Available from 28 June 2023
Hydrogen bromide,kg kg-1,hydrogen_bromide,hbr,217068.00,,X,X,Available from 28 June 2023
Hydrogen fluoride,kg kg-1,hydrogen_fluoride,hf,217202.00,,X,X,Available from 28 June 2023
Hydroperoxy radical,kg kg-1,hydroperoxy_radical,ho2,217028.00,,X,X,
Hypobromous acid,kg kg-1,hypobromous_acid,hobr,217070.00,,X,X,Available from 28 June 2023
Hypochlorous acid,kg kg-1,hypochlorous_acid,hocl,217065.00,,X,X,Available from 28 June 2023
Lead,kg kg-1,lead,pb,217026.00,,X,X,
Methacrolein MVK,kg kg-1,methacrolein_mvk,ispd,217050.00,,,X,
Methacrylic acid,kg kg-1,methacrylic_acid,mcooh,217044.00,,X,X,
Methane sulfonic acid,kg kg-1,methane_sulfonic_acid,msa,217022.00,,X,X,
Methanol,kg kg-1,methanol,ch3oh,217042.00,,X,X,
Methyl bromide,kg kg-1,methyl_bromide,ch3br,217080.00,,X,X,Available from 28 June 2023
Methyl chloride,kg kg-1,methyl_chloride,ch3cl,217078.00,,X,X,Available from 28 June 2023
Methyl chloroform,kg kg-1,methyl_chloroform,ch3ccl3,217077.00,,X,X,Available from 28 June 2023
Methyl glyoxal,kg kg-1,methyl_glyoxal,ch3cocho,217023.00,,X,X,
Methyl peroxide,kg kg-1,methyl_peroxide,ch3ooh,217007.00,,X,X,
Methylperoxy radical,kg kg-1,methylperoxy_radical,ch3o2,217029.00,,X,X,
Nitrate,kg kg-1,nitrate,no3_a,217051.00,,X,X,
Nitrate radical,kg kg-1,nitrate_radical,no3,217032.00,,X,X,
Nitryl chloride,kg kg-1,nitryl_chloride,clno2,217067.00,,X,X,Available from 28 June 2023
Olefins,kg kg-1,olefins,ole,217011.00,,X,X,
Organic ethers,kg kg-1,organic_ethers,ror,217036.00,,X,X,
Organic nitrates,kg kg-1,organic_nitrates,onit,217015.00,,X,X,
Paraffins,kg kg-1,paraffins,par,217009.00,,X,X,
Pernitric acid,kg kg-1,pernitric_acid,ho2no2,217034.00,,X,X,
Peroxides,kg kg-1,peroxides,rooh,217014.00,,X,X,
Peroxy acetyl radical,kg kg-1,peroxy_acetyl_radical,c2o3,217035.00,,X,X,
Potential vorticity,K m2 kg-1 s-1,potential_vorticity,pv,60.00,,X,X,
Propene,kg kg-1,propene,c3h6,217048.00,,X,X,
Radon,kg kg-1,radon,ra,210181.00,,X,X,
Relative humidity,%,relative_humidity,r,157.00,,X,X,
Specific cloud ice water content,kg kg-1,specific_cloud_ice_water_content,ciwc,247.00,,X,X,
Specific cloud liquid water content,kg kg-1,specific_cloud_liquid_water_content,clwc,246.00,,X,X,
Specific rain water content,kg kg-1,specific_rain_water_content,crwc,75.00,,X,X,
Specific snow water content,kg kg-1,specific_snow_water_content,cswc,76.00,,X,X,
Stratospheric ozone,kg kg-1,stratospheric_ozone_tracer,o3s,217024.00,,X,X,
Terpenes,kg kg-1,terpenes,c10h16,217049.00,,X,X,
Tetrachloromethane,kg kg-1,tetrachloromethane,ccl4,217076.00,,X,X,Available from 28 June 2023
Tribromomethane,kg kg-1,tribromomethane,chbr3,217197.00,,X,X,Available from 28 June 2023
Trichlorofluoromethane,kg kg-1,trichlorofluoromethane,cfc11,217071.00,,X,X,Available from 28 June 2023
Trichlorotrifluoroethane,kg kg-1,trichlorotrifluoroethane,cfc113,217073.00,,X,X,Available from 28 June 2023
Trifluorobromomethane,kg kg-1,trifluorobromomethane,ha1301,217083.00,,X,X,Available from 28 June 2023
Vertical velocity,Pa s-1,vertical_velocity,,135.00,,X,X,
Water vapour (chemistry),kg kg-1,water_vapour_chemistry,h2o,217059.00,,X,X,